iter	Passed	Remaining
0	78	78212
1	83	41887
2	89	29710
3	93	23335
4	98	19525
5	102	16919
6	106	15039
7	109	13531
8	112	12414
9	114	11358
10	120	10800
11	123	10164
12	126	9584
13	128	9079
14	132	8678
15	136	8407
16	139	8085
17	142	7769
18	145	7491
19	148	7264
20	151	7082
21	154	6870
22	157	6701
23	160	6525
24	163	6378
25	167	6257
26	169	6119
27	172	5983
28	174	5855
29	177	5736
30	180	5639
31	183	5556
32	186	5452
33	187	5330
34	189	5236
35	192	5154
36	195	5080
37	198	5021
38	199	4913
39	201	4841
40	204	4778
41	206	4717
42	208	4634
43	211	4584
44	214	4553
45	216	4498
46	219	4449
47	221	4402
48	224	4353
49	226	4312
50	230	4291
51	233	4249
52	235	4208
53	238	4172
54	240	4133
55	243	4105
56	247	4087
57	249	4053
58	251	4018
59	254	3985
60	256	3954
61	259	3928
62	262	3911
63	265	3882
64	267	3854
65	270	3827
66	272	3800
67	275	3778
68	279	3765
69	281	3740
70	284	3718
71	286	3696
72	289	3673
73	292	3658
74	295	3643
75	297	3619
76	300	3596
77	301	3564
78	303	3532
79	305	3514
80	308	3501
81	311	3492
82	314	3475
83	316	3456
84	319	3438
85	322	3422
86	325	3416
87	328	3403
88	331	3390
89	333	3374
90	336	3360
91	339	3349
92	342	3343
93	345	3328
94	347	3313
95	350	3299
96	353	3286
97	356	3278
98	358	3266
99	361	3255
100	364	3243
101	366	3230
102	369	3218
103	373	3213
104	376	3207
105	378	3193
106	381	3181
107	384	3171
108	386	3161
109	389	3155
110	393	3147
111	396	3140
112	398	3128
113	401	3119
114	404	3114
115	407	3107
116	410	3097
117	412	3086
118	415	3073
119	417	3063
120	420	3055
121	423	3047
122	426	3038
123	428	3028
124	431	3017
125	433	3009
126	436	3001
127	438	2989
128	441	2982
129	444	2974
130	447	2967
131	450	2962
132	453	2954
133	455	2945
134	458	2935
135	460	2927
136	463	2919
137	466	2914
138	469	2908
139	472	2901
140	475	2894
141	477	2886
142	480	2880
143	483	2874
144	486	2866
145	488	2859
146	491	2851
147	493	2843
148	496	2835
149	499	2828
150	501	2822
151	504	2815
152	506	2806
153	509	2798
154	511	2791
155	514	2784
156	517	2777
157	519	2769
158	521	2758
159	524	2752
160	526	2745
161	529	2737
162	532	2732
163	535	2727
164	537	2721
165	540	2714
166	543	2708
167	545	2702
168	548	2697
169	551	2690
170	553	2684
171	556	2678
172	559	2673
173	561	2664
174	564	2660
175	566	2653
176	569	2647
177	572	2642
178	574	2635
179	577	2630
180	580	2626
181	582	2619
182	585	2612
183	587	2607
184	590	2601
185	593	2596
186	596	2592
187	599	2587
188	601	2582
189	604	2578
190	607	2574
191	610	2569
192	613	2563
193	614	2554
194	617	2548
195	619	2542
196	622	2536
197	624	2530
198	626	2522
199	629	2517
200	631	2512
201	634	2507
202	636	2498
203	638	2493
204	641	2488
205	644	2484
206	646	2477
207	648	2468
208	650	2460
209	652	2454
210	654	2449
211	657	2444
212	660	2440
213	662	2433
214	664	2426
215	667	2421
216	669	2416
217	672	2412
218	674	2405
219	676	2398
220	679	2394
221	681	2389
222	684	2385
223	687	2381
224	690	2376
225	693	2373
226	695	2369
227	698	2365
228	701	2362
229	704	2359
230	707	2356
231	710	2353
232	714	2352
233	717	2348
234	720	2344
235	723	2341
236	726	2337
237	728	2333
238	731	2328
239	734	2325
240	736	2320
241	740	2317
242	742	2313
243	745	2309
244	747	2304
245	750	2300
246	753	2296
247	756	2292
248	758	2288
249	761	2283
250	763	2278
251	766	2273
252	768	2269
253	771	2266
254	774	2261
255	776	2257
256	779	2252
257	781	2248
258	784	2245
259	787	2241
260	790	2237
261	793	2233
262	796	2230
263	798	2226
264	801	2222
265	804	2218
266	806	2214
267	809	2210
268	811	2206
269	814	2201
270	816	2197
271	819	2193
272	822	2189
273	824	2185
274	827	2180
275	829	2176
276	833	2174
277	836	2171
278	838	2168
279	841	2164
280	844	2161
281	847	2157
282	849	2153
283	852	2149
284	855	2146
285	858	2142
286	860	2138
287	863	2133
288	865	2129
289	868	2126
290	871	2122
291	873	2118
292	876	2114
293	879	2111
294	882	2108
295	885	2105
296	887	2101
297	890	2097
298	893	2094
299	895	2090
300	898	2085
301	900	2082
302	903	2078
303	905	2074
304	908	2069
305	910	2066
306	913	2061
307	916	2059
308	919	2055
309	921	2051
310	924	2048
311	927	2044
312	929	2040
313	932	2036
314	935	2033
315	937	2029
316	940	2026
317	942	2022
318	945	2018
319	948	2014
320	950	2010
321	952	2006
322	955	2002
323	958	1999
324	961	1996
325	964	1993
326	966	1989
327	969	1986
328	972	1982
329	974	1978
330	977	1975
331	979	1971
332	982	1967
333	984	1964
334	987	1960
335	989	1956
336	992	1952
337	995	1949
338	998	1946
339	1000	1942
340	1003	1938
341	1005	1934
342	1008	1931
343	1010	1927
344	1013	1924
345	1016	1920
346	1018	1917
347	1021	1914
348	1024	1910
349	1026	1907
350	1029	1904
351	1032	1900
352	1035	1897
353	1038	1894
354	1040	1890
355	1043	1887
356	1046	1884
357	1048	1880
358	1051	1877
359	1053	1873
360	1056	1870
361	1059	1867
362	1062	1863
363	1064	1860
364	1067	1856
365	1069	1853
366	1072	1850
367	1075	1846
368	1078	1844
369	1081	1841
370	1083	1837
371	1086	1834
372	1089	1830
373	1091	1827
374	1094	1823
375	1096	1819
376	1099	1816
377	1101	1812
378	1104	1809
379	1106	1805
380	1109	1801
381	1111	1798
382	1114	1794
383	1116	1790
384	1118	1787
385	1121	1783
386	1123	1779
387	1126	1776
388	1128	1772
389	1131	1769
390	1134	1766
391	1136	1763
392	1139	1759
393	1141	1756
394	1144	1753
395	1147	1750
396	1150	1746
397	1152	1743
398	1155	1740
399	1158	1737
400	1160	1733
401	1163	1730
402	1165	1727
403	1174	1731
404	1179	1733
405	1186	1735
406	1191	1736
407	1197	1736
408	1203	1738
409	1207	1737
410	1212	1737
411	1216	1736
412	1220	1735
413	1224	1733
414	1227	1730
415	1230	1728
416	1233	1725
417	1236	1721
418	1239	1718
419	1241	1714
420	1244	1711
421	1247	1708
422	1250	1705
423	1253	1702
424	1255	1698
425	1258	1695
426	1260	1692
427	1263	1688
428	1265	1685
429	1268	1681
430	1270	1677
431	1273	1674
432	1276	1671
433	1279	1668
434	1281	1664
435	1284	1661
436	1287	1658
437	1289	1654
438	1292	1651
439	1295	1649
440	1298	1646
441	1301	1642
442	1304	1639
443	1307	1636
444	1309	1633
445	1312	1630
446	1315	1628
447	1318	1624
448	1321	1621
449	1324	1618
450	1327	1615
451	1330	1612
452	1332	1609
453	1335	1606
454	1337	1602
455	1340	1599
456	1343	1595
457	1346	1592
458	1348	1589
459	1351	1586
460	1354	1583
461	1357	1580
462	1360	1577
463	1362	1574
464	1365	1570
465	1367	1567
466	1370	1563
467	1374	1562
468	1378	1560
469	1382	1558
470	1385	1556
471	1388	1553
472	1393	1553
473	1397	1550
474	1400	1547
475	1402	1544
476	1405	1540
477	1407	1537
478	1410	1534
479	1413	1530
480	1415	1527
481	1418	1524
482	1421	1521
483	1424	1518
484	1426	1514
485	1429	1511
486	1431	1508
487	1434	1504
488	1436	1501
489	1439	1497
490	1441	1494
491	1443	1490
492	1446	1487
493	1449	1485
494	1452	1482
495	1455	1479
496	1458	1476
497	1460	1472
498	1463	1469
499	1466	1466
500	1469	1463
501	1471	1459
502	1474	1456
503	1476	1453
504	1479	1450
505	1481	1446
506	1484	1443
507	1487	1440
508	1489	1437
509	1493	1434
510	1496	1432
511	1499	1429
512	1502	1426
513	1505	1423
514	1507	1420
515	1510	1416
516	1513	1413
517	1515	1410
